nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Luiz Felipe Correia,354.812.670-71,35,1988-06-10,"Estrada da Rocha, 2
Betânia
54394-050 Silva / PI",Rio de Janeiro,Brasil,9754.01,Ensino Superior,1,Solteiro,14,Educação
Sr. Miguel Campos,872.491.065-11,55,1968-06-08,"Viela de Azevedo, 19
São Lucas
47628079 Aragão / PI",Rio Grande do Sul,Brasil,18503.41,Ensino Superior,0,Casado,28,Saúde
Sra. Stella Ribeiro,645.037.921-99,46,1977-09-04,"Núcleo Nina Gomes, 602
Copacabana
48313281 Araújo do Oeste / BA",Alagoas,Brasil,11804.71,Ensino Médio,0,Casado,21,Saúde
Calebe da Costa,463.951.278-37,23,2000-09-09,"Jardim Lopes, 796
Vila Pilar
63862958 Moura / GO",Goiás,Brasil,4615.08,Ensino Médio,3,Casado,4,Educação
Camila da Cruz,763.041.529-06,40,1983-09-15,"Lago Ian Oliveira, 419
Mirante
19092431 Cardoso de Minas / RO",Distrito Federal,Brasil,7355.37,Ensino Médio,1,Casado,22,Educação
Isabel Sales,725.489.063-29,51,1972-08-01,"Parque Isabel Rocha, 79
Vila Nova Cachoeirinha 2ª Seção
22607924 Silva / RS",Acre,Brasil,9620.01,Ensino Superior,1,Casado,30,Saúde
Dr. André Castro,351.728.064-07,48,1976-04-03,"Colônia de Porto, 68
Sport Club
25032-098 da Cunha Paulista / PI",Ceará,Brasil,10983.45,Ensino Médio,0,Casado,29,Saúde
Paulo Correia,785.091.346-93,42,1981-09-02,"Vale de Dias, 5
Sagrada Família
56725037 Silva / RO",Maranhão,Brasil,9007.04,Ensino Superior,3,Casado,11,Comércio
Sophia Duarte,732.108.954-14,19,2004-09-12,"Rodovia de Castro, 69
Vila Madre Gertrudes 3ª Seção
75360-814 Rodrigues / RR",Rio de Janeiro,Brasil,8628.69,Pós-graduação,2,Solteiro,1,Tecnologia
Marina Moura,618.759.023-68,48,1975-08-06,"Trevo João Vitor Freitas, 26
Jardim Dos Comerciarios
53762107 Sales / MS",Roraima,Brasil,3778.81,Ensino Médio,0,Casado,12,Comércio
Davi Luiz Moura,397.106.258-02,22,2001-08-19,"Estrada de da Costa, 4
Minas Caixa
38647851 Gonçalves / AC",Rio Grande do Norte,Brasil,3212.94,Ensino Médio,1,Casado,3,Saúde
Sr. Thomas Sales,751.246.908-01,26,1998-03-14,"Vereda de Souza, 15
Ambrosina
85683821 Oliveira do Campo / RR",Amazonas,Brasil,6491.9,Ensino Médio,2,Casado,7,Saúde
Daniela Rocha,438.609.275-74,54,1969-10-10,"Lagoa Emanuelly Nogueira, 231
Jaraguá
81999-162 Aragão de Minas / BA",São Paulo,Brasil,12207.28,Ensino Superior,0,Solteiro,10,Comércio
Letícia Moreira,815.903.264-15,24,1999-06-08,"Residencial Isaac Jesus, 15
Barro Preto
24165310 Fernandes / PR",Tocantins,Brasil,5957.93,Ensino Médio,1,Casado,1,Tecnologia
Milena Aragão,789.546.031-57,49,1975-02-07,"Via Raul Silva, 98
Beira Linha
77538-564 Alves / RR",Mato Grosso,Brasil,3156.24,Ensino Fundamental,1,Casado,7,Saúde
Maria Sophia Viana,691.802.347-04,36,1987-09-01,"Feira Lopes, 793
Graça
18704069 Novaes Grande / RJ",Amapá,Brasil,6337.95,Ensino Médio,0,Viúvo,5,Tecnologia
Srta. Ana Caldeira,687.104.532-53,35,1988-09-27,"Setor de Pires, 259
Serra Do Curral
93736768 da Rocha / SE",Piauí,Brasil,9552.37,Ensino Médio,3,Divorciado,16,Tecnologia
Melissa Cardoso,893.146.075-93,24,1999-12-01,"Largo Barbosa, 400
Cardoso
16312-286 Ramos / SE",Amazonas,Brasil,4027.42,Ensino Médio,2,Casado,0,Educação
Nicolas Carvalho,635.240.187-26,30,1993-04-15,"Área Porto, 60
Caetano Furquim
75064-466 da Mata das Flores / RO",Rio de Janeiro,Brasil,5700.28,Ensino Médio,0,Divorciado,3,Comércio
Bryan Ferreira,214.573.698-00,62,1962-02-24,"Recanto Aragão, 53
Vila Pilar
43378412 Dias / MG",Bahia,Brasil,7140.01,Pós-graduação,1,Casado,6,Educação
Sr. Enrico Monteiro,673.951.420-80,30,1993-05-29,"Aeroporto Cardoso, 44
São Sebastião
92241-987 Correia de Caldeira / MA",Goiás,Brasil,5741.97,Ensino Médio,0,Solteiro,8,Comércio
Thiago Fernandes,395.027.816-86,19,2004-12-16,"Quadra Rodrigo Duarte, 49
São Jorge 1ª Seção
00440991 Cardoso de Lima / AC",Espírito Santo,Brasil,3881.76,Ensino Superior,1,Solteiro,0,Saúde
Dr. Vitor Hugo Azevedo,293.157.608-59,28,1995-05-04,"Alameda da Luz, 6
Lagoa
52277-574 Santos das Pedras / MA",Rio Grande do Sul,Brasil,7250.99,Ensino Superior,1,Solteiro,10,Educação
Leonardo Pires,964.812.735-28,44,1980-01-20,"Residencial Correia, 61
Vila Ouro Minas
15846846 Sales / RS",Amazonas,Brasil,3679.69,Ensino Fundamental,3,Solteiro,12,Indústria
João Sales,948.526.703-74,30,1993-08-24,"Chácara Pedro Souza, 288
Casa Branca
51432-441 Caldeira da Serra / BA",Tocantins,Brasil,5275.76,Ensino Médio,0,Solteiro,4,Tecnologia
Luna Almeida,578.413.260-17,36,1988-03-30,"Quadra de Araújo, 18
Horto
05425800 Gomes das Pedras / RS",Mato Grosso,Brasil,6223.03,Ensino Médio,1,Casado,15,Saúde
Mariane da Rocha,027.564.198-85,29,1994-07-21,"Setor de Nunes, 26
Aparecida
80302-530 Castro da Mata / PA",Maranhão,Brasil,12305.5,Pós-graduação,0,Casado,6,Comércio
Nathan Viana,406.715.923-43,31,1992-04-20,"Esplanada Araújo
Juliana
55815609 Oliveira / CE",Mato Grosso,Brasil,3423.78,Ensino Fundamental,0,Casado,12,Indústria
Benjamin Cavalcanti,162.753.849-64,27,1996-08-21,"Estrada da Rosa, 5
Vila Independencia 3ª Seção
68399908 Azevedo / GO",Ceará,Brasil,8212.64,Ensino Superior,4,Casado,8,Saúde
André Cardoso,250.963.471-25,30,1993-09-02,"Estação Pires, 388
Marçola
67525-290 Novaes / AP",Roraima,Brasil,3577.17,Ensino Fundamental,2,Casado,5,Comércio
Kevin Rocha,251.496.708-20,56,1968-02-29,"Sítio de Almeida, 86
Cidade Nova
63045-083 Moraes / RS",Paraná,Brasil,2538.99,Ensino Fundamental,0,Solteiro,5,Tecnologia
Eduardo Ramos,908.276.531-40,24,2000-03-31,"Praia Nascimento, 7
Conjunto Bonsucesso
96964829 Nunes / AM",Alagoas,Brasil,4887.91,Ensino Fundamental,1,Casado,5,Saúde
Mariana Teixeira,143.879.560-20,42,1981-07-08,"Núcleo Melo, 417
Carlos Prates
00640-929 Silva de Santos / BA",Rio Grande do Norte,Brasil,4337.96,Ensino Fundamental,1,Casado,16,Indústria
Vitor Melo,807.346.921-96,30,1993-09-04,"Viaduto Farias
Vila São Gabriel
03782840 Oliveira / ES",São Paulo,Brasil,5703.53,Pós-graduação,1,Casado,5,Indústria
Thomas da Conceição,742.513.609-07,31,1993-01-25,"Trevo da Conceição, 44
Indaiá
26726-331 da Rocha / MS",Piauí,Brasil,7367.86,Ensino Superior,0,Casado,6,Educação
Ana Luiza Dias,875.094.163-10,22,2001-05-10,"Ladeira Luiz Felipe da Mata
Lagoinha
97055997 Araújo / AL",Bahia,Brasil,4007.0,Ensino Médio,0,Casado,3,Tecnologia
João Pedro da Rocha,380.197.642-40,42,1981-11-14,"Estrada Almeida, 45
Acaba Mundo
54958663 Barbosa de Aragão / MA",Sergipe,Brasil,6567.94,Ensino Médio,0,Casado,12,Tecnologia
Brenda Costa,590.748.231-14,24,1999-06-13,"Favela Elisa Freitas, 68
Antonio Ribeiro De Abreu 1ª Seção
27474-171 Barros do Galho / AM",Mato Grosso do Sul,Brasil,8071.17,Ensino Médio,1,Casado,3,Tecnologia
Diogo Freitas,625.940.371-25,32,1991-10-28,"Trecho Diego Fernandes, 435
Bonsucesso
51513203 Moura da Serra / PA",Bahia,Brasil,7991.74,Ensino Médio,2,Solteiro,0,Tecnologia
Maria Fernanda Pereira,396.278.510-86,30,1993-10-17,"Passarela de da Paz, 5
Copacabana
18768655 Campos / PA",Acre,Brasil,6496.63,Ensino Médio,0,Casado,4,Indústria
Henrique Carvalho,492.637.081-69,63,1961-01-25,"Núcleo de Castro, 31
Vila Fumec
32137-404 da Mota do Campo / RR",Piauí,Brasil,12739.58,Ensino Médio,3,Casado,30,Saúde
João Felipe Pereira,473.650.912-07,20,2003-05-03,"Passarela da Rosa, 13
Vila Ecológica
31860496 da Conceição da Praia / MG",Pernambuco,Brasil,7827.79,Ensino Superior,0,Casado,2,Comércio
Alice da Conceição,408.721.935-60,43,1980-07-22,"Lagoa Henrique Moreira, 46
Marçola
65982-734 Silveira / PR",Bahia,Brasil,7296.25,Ensino Médio,2,Casado,7,Indústria
Sr. João Miguel Alves,950.824.137-32,50,1974-03-28,"Quadra Bryan Moreira
Alta Tensão 2ª Seção
26188-587 da Costa / AC",Paraná,Brasil,3192.85,Ensino Médio,0,Casado,4,Indústria
Nicole Dias,957.861.240-02,52,1971-07-31,"Esplanada Pedro Henrique Ramos, 34
Vila Calafate
57192217 Santos de da Rosa / SP",Pernambuco,Brasil,2489.99,Ensino Fundamental,0,Solteiro,3,Comércio
Anthony Castro,497.126.830-87,41,1982-05-23,"Ladeira Bryan Moura, 8
Vila São Francisco
72214-495 Carvalho / MG",Pernambuco,Brasil,7808.37,Ensino Superior,0,Casado,23,Educação
Thiago Aragão,125.847.936-28,19,2005-01-07,"Favela Rodrigo Araújo, 344
Jardim Dos Comerciarios
83952-281 Nogueira do Galho / PR",Acre,Brasil,4244.48,Ensino Médio,1,Solteiro,1,Tecnologia
Bruna Mendes,672.981.540-01,57,1967-03-22,"Vereda de Barbosa, 316
Estrela
06971877 Pereira das Flores / PA",Tocantins,Brasil,4800.74,Ensino Fundamental,0,Casado,34,Indústria
Giovanna Rodrigues,613.927.805-86,63,1961-03-31,"Pátio Melo, 92
Satelite
74916-351 Nunes do Norte / SE",Paraíba,Brasil,18850.59,Pós-graduação,0,Casado,45,Educação
Kamilly Rezende,359.248.167-37,50,1973-06-03,"Lago Vitor Hugo Melo, 13
Das Industrias I
74862630 Gonçalves / AC",Rio Grande do Sul,Brasil,4380.67,Ensino Fundamental,1,Solteiro,4,Comércio
Cauã Nogueira,926.584.701-85,34,1990-02-01,"Avenida de Gonçalves, 18
Ernesto Nascimento
09354-837 Aragão / MT",Pará,Brasil,15631.92,Ensino Superior,1,Divorciado,13,Tecnologia
Sophie Novaes,802.513.697-30,43,1980-08-01,"Viaduto Freitas, 43
Vila Da Paz
70884930 Carvalho / TO",Rio Grande do Norte,Brasil,5636.41,Ensino Médio,0,Solteiro,3,Educação
João Pedro Duarte,620.479.815-49,32,1992-01-03,"Loteamento da Rosa
Vila Paris
70907822 Sales / SE",Rio Grande do Sul,Brasil,2964.24,Ensino Fundamental,2,Solteiro,13,Saúde
Vitor Gabriel Cavalcanti,769.185.042-58,31,1993-01-24,"Esplanada Vieira, 3
Floresta
91052557 Porto da Serra / RO",Mato Grosso do Sul,Brasil,6439.54,Ensino Superior,1,Casado,0,Comércio
Lívia Vieira,390.825.716-68,44,1979-04-14,"Rua de da Luz, 9
Cinquentenário
49367-274 Vieira / PI",Piauí,Brasil,7338.36,Ensino Superior,1,Casado,7,Comércio
Rodrigo Aragão,086.512.374-80,52,1971-04-24,"Núcleo de Pinto, 8
Senhor Dos Passos
49129558 Ramos / PE",Bahia,Brasil,8427.19,Ensino Médio,0,Casado,21,Saúde
Ana Carolina Gonçalves,915.482.730-23,54,1969-09-19,"Praça Arthur da Mata, 6
Monsenhor Messias
72818470 Cunha / RN",Bahia,Brasil,6074.18,Ensino Fundamental,3,Divorciado,18,Indústria
Eduardo da Costa,873.954.102-97,31,1992-08-13,"Área Felipe Freitas, 55
Monsenhor Messias
97331950 Freitas do Amparo / RJ",Roraima,Brasil,2940.44,Ensino Médio,0,Solteiro,5,Saúde
João Pedro Cardoso,963.274.185-46,19,2004-07-16,"Sítio Rocha, 749
São Salvador
52888016 Alves do Amparo / AP",Acre,Brasil,4044.86,Ensino Médio,1,Casado,1,Comércio
Ana Vitória Vieira,579.163.208-86,39,1984-08-09,"Favela de da Rosa, 36
São Damião
41403-091 Peixoto / DF",Alagoas,Brasil,3434.3,Ensino Fundamental,1,Divorciado,12,Tecnologia
Maria Cecília da Paz,758.261.340-62,56,1967-09-23,"Praça Fernandes, 91
Vila Puc
47906-623 Silveira do Sul / GO",Goiás,Brasil,11541.87,Ensino Médio,2,Solteiro,30,Tecnologia
Emanuel Nunes,321.067.945-25,35,1989-03-07,"Recanto de Cavalcanti, 24
Caetano Furquim
72123-792 da Rosa Paulista / AC",Maranhão,Brasil,3365.27,Ensino Médio,0,Casado,9,Educação
Nina Barros,019.587.362-95,33,1990-06-18,"Favela Rodrigo da Cruz, 235
Vila Ipiranga
70834130 Cardoso / RO",Maranhão,Brasil,8145.94,Ensino Médio,1,Solteiro,11,Indústria
Nina Martins,692.480.731-31,27,1997-03-06,"Ladeira Alice Fogaça
Apolonia
81058304 Caldeira / RO",Rio Grande do Norte,Brasil,6449.41,Ensino Médio,0,Casado,1,Indústria
Srta. Manuela da Rocha,203.568.147-26,30,1993-05-02,"Praia de Ribeiro, 71
Vila Puc
97191413 da Conceição / DF",Rio de Janeiro,Brasil,2520.74,Ensino Fundamental,1,Casado,7,Comércio
Heitor Cardoso,208.176.439-31,33,1990-09-18,"Colônia de Barbosa, 20
Vila Havaí
44140110 Porto / RR",Minas Gerais,Brasil,5788.06,Ensino Superior,1,Solteiro,5,Comércio
Ryan da Cruz,601.879.423-31,22,2001-10-14,"Pátio de Azevedo, 236
Barro Preto
33226353 Correia Paulista / SC",Rio Grande do Norte,Brasil,2684.24,Ensino Médio,1,Casado,4,Saúde
Maria Barbosa,637.841.092-50,44,1980-03-24,"Rua Ramos
Califórnia
36428549 Farias de Goiás / SE",Acre,Brasil,7966.93,Ensino Médio,2,Solteiro,12,Saúde
Milena Oliveira,059.278.314-60,34,1989-10-29,"Favela Nogueira
Heliopolis
79875355 Silva da Serra / RJ",Rio Grande do Sul,Brasil,6469.59,Ensino Médio,4,Casado,11,Saúde
Agatha Castro,635.047.819-39,61,1962-06-08,"Estação de Barros, 65
Salgado Filho
85748179 Barros de Cavalcanti / SC",Mato Grosso do Sul,Brasil,11460.93,Ensino Médio,0,Divorciado,41,Comércio
Evelyn da Cunha,076.521.849-67,19,2004-05-09,"Morro Correia
Solar Do Barreiro
83423669 Pires / MG",Espírito Santo,Brasil,3946.14,Ensino Médio,1,Solteiro,0,Saúde
Vicente da Cunha,928.360.415-60,48,1975-09-07,"Condomínio de Nogueira
Europa
27413-608 Nogueira / AP",Rio Grande do Sul,Brasil,6780.27,Ensino Médio,2,Solteiro,7,Indústria
Pietro da Luz,106.783.592-02,38,1985-07-13,"Vale Maria Julia Sales, 50
Marilandia
24055632 Vieira de Cunha / RJ",Mato Grosso do Sul,Brasil,7101.13,Ensino Médio,4,Solteiro,1,Indústria
Davi Lucca Porto,593.420.186-70,45,1978-05-25,"Setor de Carvalho, 7
Virgínia
94599-992 Barros Verde / GO",Paraíba,Brasil,4973.46,Ensino Fundamental,2,Casado,24,Saúde
Kamilly Azevedo,291.374.605-52,48,1976-01-01,"Aeroporto Cardoso, 54
Ernesto Nascimento
33599838 Cardoso de Sales / SP",Roraima,Brasil,9052.9,Pós-graduação,1,Casado,8,Comércio
Sra. Catarina Cavalcanti,534.076.921-61,31,1992-07-21,"Viaduto Nascimento, 57
Conjunto Serra Verde
53051349 Campos Alegre / MT",Santa Catarina,Brasil,7252.9,Ensino Superior,1,Solteiro,0,Indústria
Giovanna Peixoto,312.759.846-73,37,1987-03-15,"Conjunto Rocha, 233
Vila Havaí
87034-829 Porto / MS",Bahia,Brasil,4968.38,Ensino Médio,0,Solteiro,4,Saúde
Leonardo Teixeira,592.701.836-02,90,1934-03-01,"Loteamento Davi Lucca Azevedo, 14
Laranjeiras
11574628 Teixeira das Flores / MS",Alagoas,Brasil,3768.99,Ensino Médio,3,Solteiro,32,Tecnologia
Agatha da Luz,598.760.431-10,57,1966-12-12,"Conjunto Nascimento, 23
João Alfredo
51929-519 Castro / AP",Alagoas,Brasil,6095.04,Ensino Médio,1,Casado,9,Comércio
Lucas Gabriel Ramos,429.837.561-73,51,1973-03-26,"Rua Cauê Costela
Monte São José
45335200 Fogaça / RN",Espírito Santo,Brasil,6122.59,Pós-graduação,1,Casado,1,Indústria
Sra. Vitória Pires,439.657.801-66,48,1976-02-24,"Ladeira de Caldeira, 49
São Benedito
15633-597 Novaes / PE",Santa Catarina,Brasil,4137.95,Ensino Fundamental,2,Casado,14,Indústria
Clara Ramos,869.051.247-02,23,2001-01-08,"Esplanada Pietra da Cunha, 152
Minas Brasil
50689-892 Almeida / AC",Pará,Brasil,3213.5,Ensino Médio,2,Solteiro,2,Indústria
Manuela Dias,108.375.469-66,29,1994-06-08,"Largo de da Rosa, 76
Barão Homem De Melo 2ª Seção
85487-062 Jesus do Sul / ES",São Paulo,Brasil,3223.18,Ensino Médio,1,Casado,5,Indústria
Diogo Martins,047.281.356-08,48,1976-01-21,"Alameda Clara Nascimento, 70
Itaipu
90682202 Dias / MT",Goiás,Brasil,4790.04,Ensino Superior,3,Casado,6,Educação
Heloísa Lima,085.697.321-12,59,1964-06-29,"Trecho Henrique Moreira, 714
Serra
76304-430 Moreira / PI",Rio Grande do Sul,Brasil,10574.4,Ensino Superior,3,Divorciado,17,Comércio
João Vitor Castro,068.172.534-62,32,1991-04-22,"Distrito Brenda Novaes, 80
Heliopolis
24550968 da Rosa / RR",Rio Grande do Sul,Brasil,7627.68,Ensino Médio,1,Casado,8,Comércio
Breno Pereira,756.102.893-86,46,1978-02-18,"Fazenda Isis das Neves, 8
Nossa Senhora Da Conceição
62129-144 Alves / GO",Mato Grosso,Brasil,10193.13,Ensino Médio,0,Divorciado,14,Tecnologia
Giovanna Pinto,938.104.526-70,53,1970-09-10,"Área Correia, 648
Conjunto Santa Maria
44500-448 Gomes / GO",Paraná,Brasil,10192.33,Ensino Superior,1,Casado,3,Indústria
Isis Freitas,085.937.614-10,32,1991-12-17,"Parque Olivia Sales, 771
Jardim Felicidade
94935-005 Cardoso da Serra / PB",Pará,Brasil,8825.85,Ensino Médio,2,Casado,12,Tecnologia
Lucca Pires,346.280.197-03,30,1993-06-06,"Rodovia de Monteiro, 77
Cruzeiro
20582-248 Aragão / MT",Paraná,Brasil,5132.76,Ensino Médio,0,Casado,1,Educação
Carolina Freitas,413.906.827-22,18,2005-04-22,"Área Melo, 72
Marieta 1ª Seção
97920-836 Correia da Prata / RN",Espírito Santo,Brasil,2631.99,Ensino Fundamental,0,Casado,0,Educação
Sr. Leandro Novaes,726.893.041-04,55,1969-01-03,"Área Rafaela Mendes, 93
Bonsucesso
89798285 Pires / RJ",Amazonas,Brasil,10424.36,Ensino Médio,2,Casado,30,Tecnologia
Maria Luiza Pereira,206.531.847-35,61,1962-10-19,"Quadra Ramos, 65
Belvedere
55990924 Ferreira da Serra / ES",Mato Grosso do Sul,Brasil,7917.1,Ensino Superior,1,Casado,9,Comércio
Pedro Miguel Dias,927.850.413-05,63,1960-12-17,"Passarela da Conceição, 50
São Gonçalo
18935032 Fernandes de Gomes / TO",Rondônia,Brasil,7761.87,Ensino Superior,0,Casado,42,Educação
Milena da Mata,978.042.531-41,27,1997-03-21,"Feira Anthony Viana
Vila São Dimas
43023369 Martins / GO",Goiás,Brasil,2825.37,Ensino Fundamental,0,Solteiro,5,Comércio
Isaac Lima,567.140.392-80,18,2006-04-08,"Parque de Oliveira, 52
Jonas Veiga
27425451 Silva / PE",Rio de Janeiro,Brasil,3707.52,Ensino Médio,1,Solteiro,0,Comércio
Eloah Sales,132.569.478-91,22,2001-12-12,"Residencial Pedro Lucas da Rosa
Vila Madre Gertrudes 4ª Seção
27873-112 da Rocha / AL",Maranhão,Brasil,7663.09,Ensino Superior,0,Solteiro,3,Saúde
Gabriela Silva,890.375.126-40,55,1969-04-09,"Recanto Marcela Novaes, 2
Vila Jardim São José
02993-825 Pires / AL",Sergipe,Brasil,5368.66,Ensino Médio,0,Solteiro,33,Educação
Samuel Melo,795.042.861-94,37,1986-10-08,"Largo Giovanna Duarte, 77
Estrela
20328973 Nascimento de Moreira / AC",Tocantins,Brasil,5054.82,Ensino Médio,0,Solteiro,1,Educação
Maria Ramos,240.358.197-60,65,1959-03-02,"Conjunto Ribeiro
Virgínia
59084333 Santos / DF",Paraíba,Brasil,6092.38,Ensino Superior,0,Solteiro,9,Saúde
Nicole Souza,679.453.812-19,40,1984-03-30,"Lago de das Neves, 1
Baleia
27460975 Aragão / AM",Tocantins,Brasil,8944.97,Pós-graduação,0,Casado,5,Comércio
Luiz Henrique Pereira,538.924.067-74,20,2003-09-02,"Campo Barros, 395
Calafate
29831093 da Cunha / BA",Tocantins,Brasil,5300.81,Ensino Superior,1,Casado,0,Indústria
Sr. Benício Viana,461.205.739-25,53,1970-06-28,"Esplanada Barros, 27
Vila Coqueiral
21295-109 Novaes / MG",Minas Gerais,Brasil,15998.92,Ensino Superior,3,Solteiro,32,Tecnologia
Gabriela Sales,907.381.642-40,25,1998-12-24,"Pátio de Fernandes, 211
Cenaculo
40704-721 Viana / AP",Pernambuco,Brasil,7606.63,Ensino Superior,2,Viúvo,6,Indústria
Dr. Luiz Otávio Melo,352.981.704-04,44,1980-02-29,"Favela Pinto, 1
Nova Vista
16243-338 Rodrigues de Fernandes / RS",Acre,Brasil,4649.26,Ensino Fundamental,1,Viúvo,25,Comércio
Ana Lívia Rocha,458.910.362-15,33,1991-02-16,"Parque Nunes, 84
Caetano Furquim
83630603 Fogaça / RN",Rio Grande do Norte,Brasil,5442.87,Ensino Superior,4,Casado,5,Indústria
Sophie Rodrigues,692.784.051-67,56,1967-07-05,"Jardim de Moraes, 69
Marajó
73252025 Fernandes / TO",Rio Grande do Norte,Brasil,7034.73,Ensino Médio,1,Casado,37,Educação
Samuel Santos,082.473.691-50,29,1994-04-14,"Morro Fogaça, 40
Alípio De Melo
82909763 Nunes / SP",Distrito Federal,Brasil,4330.28,Ensino Médio,0,Solteiro,0,Saúde
Thiago Rezende,704.659.231-43,20,2004-01-21,"Conjunto Felipe Freitas, 39
Vila Paris
61440-198 Silveira da Serra / AL",Paraíba,Brasil,11513.96,Ensino Superior,1,Solteiro,0,Tecnologia
Camila Porto,248.567.910-01,61,1962-04-18,"Vila de Viana, 899
São Benedito
74861510 Caldeira da Prata / SC",Sergipe,Brasil,6965.57,Ensino Superior,1,Casado,10,Indústria
Sofia Aragão,586.379.102-03,86,1937-05-24,"Avenida Renan Souza
Floramar
17017049 Teixeira das Flores / PB",São Paulo,Brasil,8635.6,Ensino Médio,1,Casado,49,Tecnologia
Emilly Oliveira,397.640.518-39,56,1967-09-01,"Trecho Sophie Costa, 43
Casa Branca
14103-574 Nascimento de da Luz / PE",Rio Grande do Norte,Brasil,8166.49,Ensino Médio,0,Solteiro,15,Educação
Gabriel da Conceição,180.746.952-20,47,1976-06-07,"Área de Alves, 9
Alto Das Antenas
87529714 Araújo da Prata / RO",Pará,Brasil,14841.48,Pós-graduação,0,Casado,4,Indústria
Diego Alves,421.068.793-69,33,1990-11-30,"Distrito Cardoso, 6
Álvaro Camargos
09301576 Ferreira / PR",Espírito Santo,Brasil,3996.93,Ensino Médio,0,Casado,14,Educação
Luana Lopes,214.769.038-40,26,1997-10-29,"Rua de das Neves, 27
Nova Gameleira
07864-562 Duarte de Sales / RO",Maranhão,Brasil,9292.17,Ensino Médio,0,Casado,5,Tecnologia
Dr. Leandro Gonçalves,607.812.359-95,43,1980-12-21,"Viaduto Viana, 76
Vila Mantiqueira
76778-073 Carvalho de Jesus / RN",Goiás,Brasil,4682.95,Ensino Fundamental,2,Solteiro,9,Comércio
Davi Porto,072.416.859-11,44,1980-01-23,"Estação Otávio Fogaça, 499
São Damião
06244277 Pinto / DF",Maranhão,Brasil,15165.48,Ensino Superior,1,Solteiro,14,Saúde
Valentina Campos,053.429.816-89,36,1987-10-21,"Esplanada de Oliveira, 1
Vila Cloris
77247743 Freitas / SP",Paraíba,Brasil,5464.54,Ensino Médio,1,Casado,12,Tecnologia
Arthur Fogaça,328.749.516-09,23,2001-03-21,"Colônia de Aragão, 9
Santa Margarida
42066391 Cardoso / BA",Ceará,Brasil,6713.49,Ensino Médio,0,Casado,3,Saúde
Isabel Gomes,107.396.428-04,43,1980-12-04,"Núcleo de das Neves
Bonfim
20095315 Nunes / PA",Minas Gerais,Brasil,7056.88,Ensino Superior,1,Casado,18,Comércio
Caio Souza,798.251.064-76,24,1999-06-25,"Passarela Isabella Alves
Vila Bandeirantes
53464-435 Santos / SE",Roraima,Brasil,7513.24,Ensino Superior,1,Solteiro,6,Educação
Cecília Rocha,146.807.325-71,40,1983-11-22,"Lagoa Castro, 86
Vitoria Da Conquista
08360253 Melo / AL",Maranhão,Brasil,8935.31,Ensino Superior,4,Solteiro,5,Educação
Ana Lívia Cardoso,612.985.470-67,24,1999-10-25,"Parque Alice Rocha, 546
Coração Eucarístico
30012465 Fogaça / DF",Paraná,Brasil,4220.7,Ensino Fundamental,3,Casado,2,Tecnologia
Sr. Augusto da Cunha,840.235.176-07,46,1977-08-02,"Rua Thales da Paz, 8
Santa Cruz
04151-930 Souza do Galho / BA",Ceará,Brasil,2546.32,Ensino Fundamental,1,Casado,5,Comércio
Sra. Isabelly Farias,016.589.342-70,42,1981-05-07,"Trecho Luana Peixoto, 23
Ápia
57831508 Pereira dos Dourados / MT",Acre,Brasil,4320.31,Ensino Fundamental,0,Divorciado,3,Comércio
Davi Luiz Correia,067.852.149-20,53,1971-01-05,"Vila de Nunes, 99
Conjunto Providencia
23601093 Nunes Paulista / MT",Bahia,Brasil,5183.95,Ensino Médio,1,Casado,0,Indústria
Sr. Diogo Alves,142.380.976-96,22,2002-01-25,"Lagoa Carvalho, 770
Boa Vista
14714834 Peixoto do Sul / RN",Minas Gerais,Brasil,4381.01,Ensino Médio,0,Casado,0,Comércio
Srta. Stella Freitas,650.173.982-95,55,1968-09-15,"Vale Cecília da Cruz, 7
Ventosa
04128030 Dias / SE",Maranhão,Brasil,9152.19,Ensino Médio,2,Casado,5,Tecnologia
Beatriz Carvalho,584.379.160-20,32,1991-11-14,"Vereda Santos, 22
Vista Do Sol
92430-451 Ramos / RS",Alagoas,Brasil,8379.42,Pós-graduação,0,Divorciado,3,Tecnologia
Enzo da Luz,310.674.295-06,64,1960-03-24,"Residencial Vitória Pires, 7
Marieta 1ª Seção
96286-413 Alves do Amparo / MT",Amazonas,Brasil,18149.85,Ensino Superior,0,Casado,27,Indústria
Laura Farias,489.251.036-05,40,1983-06-18,"Jardim Novaes, 9
Álvaro Camargos
35609676 Araújo Grande / MT",Piauí,Brasil,3330.73,Ensino Fundamental,1,Casado,8,Comércio
Isabella Carvalho,974.162.058-67,56,1967-08-16,"Pátio de Ramos, 92
Vila Puc
15526180 Pereira dos Dourados / PA",Distrito Federal,Brasil,5387.76,Ensino Fundamental,1,Casado,28,Comércio
Luana Freitas,207.456.891-67,38,1986-02-16,"Parque Pinto, 63
Suzana
30535-157 da Rosa do Sul / DF",Mato Grosso,Brasil,5996.64,Ensino Médio,0,Casado,6,Educação
Sofia Oliveira,723.594.618-00,20,2003-05-10,"Trecho de Gomes, 3
Nossa Senhora Da Conceição
10543-618 Fernandes do Norte / RN",Pernambuco,Brasil,6437.18,Ensino Médio,2,Divorciado,2,Saúde
